dist	bodysite	comp	0	1	2	7	14	21	30	60	90	120	150	180	210	240	270	300	330	360
aitchison	Feces	CS-Vag	NS	NS	*	*	*	*	*	*	*	*	NS	NS	NS	NS	NS	NS	NS	NS
aitchison	Feces	CSseed-Vag	-	NS	*	*	*	NS	*	NS	NS	NS	NS	NS	NS	NS	-	-	-	NS
aitchison	Feces	CS-CSseed	-	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	-	-	-	NS
braycurtis	Feces	CS-Vag	NS	NS	*	*	*	*	*	*	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS
braycurtis	Feces	CSseed-Vag	-	NS	*	*	*	NS	*	NS	NS	NS	NS	NS	NS	NS	-	-	-	NS
braycurtis	Feces	CS-CSseed	-	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	-	-	-	NS
unifrac	Feces	CS-Vag	NS	NS	NS	NS	NS	NS	NS	NS	NS	*	NS	NS	NS	NS	NS	NS	NS	NS
unifrac	Feces	CSseed-Vag	-	NS	NS	*	*	NS	NS	NS	NS	NS	NS	NS	NS	NS	-	-	-	NS
unifrac	Feces	CS-CSseed	-	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	-	-	-	NS
wunifrac	Feces	CS-Vag	NS	NS	NS	*	NS	NS	*	*	NS	*	*	NS	NS	NS	NS	NS	NS	NS
wunifrac	Feces	CSseed-Vag	-	NS	NS	*	*	NS	NS	*	NS	NS	NS	NS	NS	NS	-	-	-	NS
wunifrac	Feces	CS-CSseed	-	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	-	-	-	NS
aitchison	Mouth	CS-Vag	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS
aitchison	Mouth	CSseed-Vag	NS	*	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	*	NS	-	-	NS	NS
aitchison	Mouth	CS-CSseed	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	-	-	NS	NS
braycurtis	Mouth	CS-Vag	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS
braycurtis	Mouth	CSseed-Vag	*	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	*	NS	-	-	NS	NS
braycurtis	Mouth	CS-CSseed	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	-	-	NS	NS
unifrac	Mouth	CS-Vag	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS
unifrac	Mouth	CSseed-Vag	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	-	-	NS	NS
unifrac	Mouth	CS-CSseed	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	-	-	NS	NS
wunifrac	Mouth	CS-Vag	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS
wunifrac	Mouth	CSseed-Vag	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	-	-	NS	NS
wunifrac	Mouth	CS-CSseed	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	-	-	NS	NS
aitchison	Forearm	CS-Vag	NS	-	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS
aitchison	Forearm	CS-CSseed	NS	-	NS	NS	NS	NS	NS	NS	-	NS	-	NS	-	-	-	-	-	NS
aitchison	Forearm	CSseed-Vag	*	*	NS	*	NS	NS	*	NS	-	NS	-	NS	-	-	-	-	-	NS
braycurtis	Forearm	CS-Vag	NS	-	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS
braycurtis	Forearm	CS-CSseed	NS	-	NS	NS	NS	NS	NS	NS	-	NS	-	NS	-	-	-	-	-	NS
braycurtis	Forearm	CSseed-Vag	NS	NS	NS	NS	NS	NS	NS	NS	-	NS	-	NS	-	-	-	-	-	NS
unifrac	Forearm	CS-Vag	*	-	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS
unifrac	Forearm	CS-CSseed	NS	-	NS	NS	NS	NS	NS	NS	-	NS	-	NS	-	-	-	-	-	NS
unifrac	Forearm	CSseed-Vag	*	NS	NS	NS	NS	NS	NS	NS	-	NS	-	NS	-	-	-	-	-	NS
wunifrac	Forearm	CS-Vag	NS	-	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS	NS
wunifrac	Forearm	CS-CSseed	NS	-	*	NS	NS	NS	NS	NS	-	NS	-	NS	-	-	-	-	-	NS
wunifrac	Forearm	CSseed-Vag	NS	NS	NS	NS	NS	NS	NS	NS	-	NS	-	NS	-	-	-	-	-	NS
