Body_site	Day	Kingdom	Phylum	Class	Order	Family	Genus	enrich_group	Maaslin2	ANCOM	LEfSe
Feces	2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	CS	1	1	NA
Feces	2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Vag	1	1	1
Feces	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	CS	NA	NA	1
Feces	2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	CS	1	1	1
Feces	2	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	CS	1	1	NA
Feces	30	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	Vag	1	NA	NA
Feces	30	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Vag	1	1	1
Feces	30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Vag	1	1	1
Feces	30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Vag	1	1	NA
Feces	30	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	CS	NA	1	NA
Feces	30	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	CS	1	1	1
Feces	30	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	CS	1	1	NA
Feces	30	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Phascolarctobacterium	Vag	1	NA	NA
Feces	30	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	CS	NA	1	1
Feces	120	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Vag	1	1	1
Feces	120	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Vag	1	NA	NA
Feces	120	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	CS	1	1	1
Feces	180	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Vag	NA	1	1
Feces	180	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Vag	1	NA	NA
Feces	180	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	CS	NA	1	1
Forearm	2	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Vag	NA	1	NA
Forearm	2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	CS	1	NA	NA
Forearm	2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	CS	1	NA	1
Forearm	30	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Micrococcus	Vag	NA	1	NA
Forearm	30	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unknown	unknown	CS	1	NA	NA
Forearm	120	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Vag	NA	NA	1
Mouth	2	Bacteria	Firmicutes	Bacilli	unknown	unknown	unknown	Vag	NA	1	1
Mouth	2	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	CS	NA	1	NA
Mouth	30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Vag	1	NA	NA
Mouth	30	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	CS	1	NA	NA
Mouth	30	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unknown	CS	NA	1	NA
Mouth	120	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unknown	Vag	NA	1	NA
Mouth	120	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Vag	NA	NA	1
Mouth	120	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	CS	NA	NA	1
Mouth	120	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	CS	NA	1	NA
Mouth	120	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	CS	NA	1	NA
Mouth	180	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	CS	NA	1	NA
Mouth	180	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	CS	NA	1	1
Mouth	180	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	CS	NA	1	1
