	formula	min_features	batch_size	differential_prior	CV	baseline_CV	q_squared	body_site	days
0	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	16	0.25	432.72422180175784	486.21045837402346	0.11000634735651993	Baby-Feces	120.0
16	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	8	0.25	142.65743408203124	152.06768798828125	0.061882008142158274	Baby-Feces	180.0
28	"C(birth_mode_ms, Treatment(""Vag"")) + country"	3	7	0.25	366.9752258300781	401.61130676269534	0.08624279334118212	Baby-Feces	2.0
44	"C(birth_mode_ms, Treatment(""Vag"")) + country"	7	28	0.25	512.4035888671875	529.9031188964843	0.03302401779732744	Baby-Feces	30.0
50	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	4	0.25	30.993684196472167	40.4388973236084	0.2335675241476498	Baby-Forearm	120.0
63	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	4	0.5	128.4797134399414	133.8041763305664	0.0397929499410451	Baby-Forearm	180.0
76	"C(birth_mode_ms, Treatment(""Vag"")) + country"	3	6	0.25	38.62653923034668	43.67278785705567	0.11554674831443645	Baby-Forearm	2.0
88	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	8	0.25	75.96167297363282	78.6357810974121	0.034006251180574765	Baby-Forearm	30.0
98	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	4	0.25	312.6191864013672	379.79612731933594	0.1768763188611604	Baby-Mouth	120.0
110	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	4	0.25	430.71412048339846	489.5332977294922	0.1201535779463897	Baby-Mouth	180.0
124	"C(birth_mode_ms, Treatment(""Vag"")) + country"	3	7	0.25	378.1145904541016	403.7065765380859	0.06339254193836497	Baby-Mouth	2.0
132	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	18	0.25	607.6793823242188	712.3397094726563	0.1469247407615636	Baby-Mouth	30.0
