	formula	min_features	batch_size	differential_prior	CV	baseline_CV	q_squared	body_site	days	model	best
0	"C(birth_mode_ms, Treatment(""Vag""))"	4	16	0.25	433.6286956787109	486.21045837402346	0.10814609556354582	Baby-Feces	120.0	TP-model-no-country	
1	"C(birth_mode_ms, Treatment(""Vag""))"	4	16	0.5	433.62841796875	486.2106567382813	0.10814703059426234	Baby-Feces	120.0	TP-model-no-country	Yes
2	"C(birth_mode_ms, Treatment(""Vag""))"	4	33	0.25	463.4579559326172	520.8009582519531	0.11010540862252893	Baby-Feces	120.0	TP-model-no-country	
3	"C(birth_mode_ms, Treatment(""Vag""))"	4	33	0.5	463.4575897216797	520.8008361816406	0.11010590320934355	Baby-Feces	120.0	TP-model-no-country	
8	"C(birth_mode_ms, Treatment(""Vag""))"	8	33	0.25	913.6316650390625	919.4436889648438	0.006321239675183166	Baby-Feces	120.0	TP-model-no-country	
9	"C(birth_mode_ms, Treatment(""Vag""))"	8	33	0.5	913.6313720703125	919.4436218261719	0.006321485752780909	Baby-Feces	120.0	TP-model-no-country	
12	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.25	159.3034637451172	171.9343002319336	0.07346315697204009	Baby-Feces	180.0	TP-model-no-country	
13	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.5	159.3038314819336	171.93438110351562	0.07346145396002912	Baby-Feces	180.0	TP-model-no-country	
14	"C(birth_mode_ms, Treatment(""Vag""))"	4	34	0.25	176.01524658203124	183.51522064208984	0.040868403360862504	Baby-Feces	180.0	TP-model-no-country	
15	"C(birth_mode_ms, Treatment(""Vag""))"	4	34	0.5	176.01531219482422	183.51520690917968	0.04086797405332798	Baby-Feces	180.0	TP-model-no-country	
16	"C(birth_mode_ms, Treatment(""Vag""))"	4	8	0.25	150.6424301147461	152.06768798828125	0.009372522804745875	Baby-Feces	180.0	TP-model-no-country	Yes
17	"C(birth_mode_ms, Treatment(""Vag""))"	4	8	0.5	150.64252777099608	152.06787719726563	0.009373113194843574	Baby-Feces	180.0	TP-model-no-country	
18	"C(birth_mode_ms, Treatment(""Vag""))"	8	17	0.25	266.5981170654297	282.8199859619141	0.0573575762027968	Baby-Feces	180.0	TP-model-no-country	
19	"C(birth_mode_ms, Treatment(""Vag""))"	8	17	0.5	266.5984771728516	282.8200653076172	0.057356567388957225	Baby-Feces	180.0	TP-model-no-country	
20	"C(birth_mode_ms, Treatment(""Vag""))"	8	34	0.25	296.6503051757812	309.11488647460936	0.04032345850756036	Baby-Feces	180.0	TP-model-no-country	
21	"C(birth_mode_ms, Treatment(""Vag""))"	8	34	0.5	296.6503173828125	309.11488342285156	0.04032340954281477	Baby-Feces	180.0	TP-model-no-country	
22	"C(birth_mode_ms, Treatment(""Vag""))"	8	8	0.25	252.5577651977539	257.0861877441406	0.01761441400692254	Baby-Feces	180.0	TP-model-no-country	
23	"C(birth_mode_ms, Treatment(""Vag""))"	8	8	0.5	252.557861328125	257.086328125	0.01761457651172027	Baby-Feces	180.0	TP-model-no-country	
24	"C(birth_mode_ms, Treatment(""Vag""))"	3	15	0.25	445.90050354003904	447.22316589355466	0.00295749964309866	Baby-Feces	2.0	TP-model-no-country	
25	"C(birth_mode_ms, Treatment(""Vag""))"	3	15	0.5	445.9006072998047	447.22315368652346	0.0029572404197252267	Baby-Feces	2.0	TP-model-no-country	
26	"C(birth_mode_ms, Treatment(""Vag""))"	3	31	0.25	458.7936065673828	459.3265777587891	0.0011603317056173568	Baby-Feces	2.0	TP-model-no-country	
27	"C(birth_mode_ms, Treatment(""Vag""))"	3	31	0.5	458.79359741210936	459.32651672363284	0.0011602189120819562	Baby-Feces	2.0	TP-model-no-country	
28	"C(birth_mode_ms, Treatment(""Vag""))"	3	7	0.25	394.25360107421875	401.61130676269534	0.01832046450032876	Baby-Feces	2.0	TP-model-no-country	Yes
29	"C(birth_mode_ms, Treatment(""Vag""))"	3	7	0.5	394.2537414550781	401.6113616943359	0.018320249228550578	Baby-Feces	2.0	TP-model-no-country	
30	"C(birth_mode_ms, Treatment(""Vag""))"	7	15	0.25	859.0363647460938	861.6497314453125	0.003032980344385483	Baby-Feces	2.0	TP-model-no-country	
31	"C(birth_mode_ms, Treatment(""Vag""))"	7	15	0.5	859.0366271972656	861.6498413085938	0.0030328028696198217	Baby-Feces	2.0	TP-model-no-country	
32	"C(birth_mode_ms, Treatment(""Vag""))"	7	31	0.25	892.0820190429688	893.4857543945312	0.0015710774846250386	Baby-Feces	2.0	TP-model-no-country	
33	"C(birth_mode_ms, Treatment(""Vag""))"	7	31	0.5	892.0820190429688	893.4857177734375	0.001571036562248218	Baby-Feces	2.0	TP-model-no-country	
34	"C(birth_mode_ms, Treatment(""Vag""))"	7	7	0.25	751.4124145507812	776.8393310546875	0.03273124246861314	Baby-Feces	2.0	TP-model-no-country	
35	"C(birth_mode_ms, Treatment(""Vag""))"	7	7	0.5	751.414892578125	776.8394958496094	0.03272825777695332	Baby-Feces	2.0	TP-model-no-country	
36	"C(birth_mode_ms, Treatment(""Vag""))"	14	14	0.25	864.2651489257812	874.6534423828125	0.011877039469175954	Baby-Feces	30.0	TP-model-no-country	
37	"C(birth_mode_ms, Treatment(""Vag""))"	14	14	0.5	864.2650268554687	874.6536071777343	0.011877365207223822	Baby-Feces	30.0	TP-model-no-country	
38	"C(birth_mode_ms, Treatment(""Vag""))"	14	28	0.25	893.8507385253906	909.4704467773438	0.017174508866451554	Baby-Feces	30.0	TP-model-no-country	
39	"C(birth_mode_ms, Treatment(""Vag""))"	14	28	0.5	893.850634765625	909.4704833984375	0.01717466252939348	Baby-Feces	30.0	TP-model-no-country	
40	"C(birth_mode_ms, Treatment(""Vag""))"	14	56	0.25	927.0893737792969	961.0399475097656	0.035326912079399975	Baby-Feces	30.0	TP-model-no-country	
41	"C(birth_mode_ms, Treatment(""Vag""))"	14	56	0.5	927.0894226074219	961.0399475097656	0.03532686127180862	Baby-Feces	30.0	TP-model-no-country	
42	"C(birth_mode_ms, Treatment(""Vag""))"	7	14	0.25	499.06679382324216	499.6149871826172	0.001097231615221017	Baby-Feces	30.0	TP-model-no-country	Yes
43	"C(birth_mode_ms, Treatment(""Vag""))"	7	14	0.5	499.06683959960935	499.6150848388672	0.0010973352404574088	Baby-Feces	30.0	TP-model-no-country	
44	"C(birth_mode_ms, Treatment(""Vag""))"	7	28	0.25	520.3867980957032	529.9031188964843	0.01795860500047397	Baby-Feces	30.0	TP-model-no-country	
45	"C(birth_mode_ms, Treatment(""Vag""))"	7	28	0.5	520.3869262695313	529.9031372070312	0.017958397052822206	Baby-Feces	30.0	TP-model-no-country	
46	"C(birth_mode_ms, Treatment(""Vag""))"	7	56	0.25	549.8077697753906	559.1120727539062	0.016641212794220706	Baby-Feces	30.0	TP-model-no-country	
47	"C(birth_mode_ms, Treatment(""Vag""))"	7	56	0.5	549.8078369140625	559.1120361328125	0.016641028304638095	Baby-Feces	30.0	TP-model-no-country	
48	"C(birth_mode_ms, Treatment(""Vag""))"	2	17	0.25	54.31811676025391	54.56285629272461	0.00448546042307052	Baby-Forearm	120.0	TP-model-no-country	
49	"C(birth_mode_ms, Treatment(""Vag""))"	2	17	0.5	54.318159866333005	54.562852478027345	0.004484600796721194	Baby-Forearm	120.0	TP-model-no-country	
50	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.25	39.21238403320312	40.4388973236084	0.030330037948122723	Baby-Forearm	120.0	TP-model-no-country	Yes
51	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.5	39.21310119628906	40.43999099731445	0.03033852804534176	Baby-Forearm	120.0	TP-model-no-country	
54	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.25	89.28552780151367	89.5370002746582	0.0028085872027555636	Baby-Forearm	120.0	TP-model-no-country	
55	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.5	89.28565902709961	89.53699798583985	0.002807096109923024	Baby-Forearm	120.0	TP-model-no-country	
58	"C(birth_mode_ms, Treatment(""Vag""))"	4	8	0.25	80.68305206298828	81.5813720703125	0.011011337325265602	Baby-Forearm	120.0	TP-model-no-country	
59	"C(birth_mode_ms, Treatment(""Vag""))"	4	8	0.5	80.68377532958985	81.5815414428711	0.011004525011456545	Baby-Forearm	120.0	TP-model-no-country	
60	"C(birth_mode_ms, Treatment(""Vag""))"	2	17	0.25	157.93010711669922	168.59122161865236	0.06323647458981119	Baby-Forearm	180.0	TP-model-no-country	
61	"C(birth_mode_ms, Treatment(""Vag""))"	2	17	0.5	157.92987213134765	168.59125366210938	0.06323804645363917	Baby-Forearm	180.0	TP-model-no-country	
62	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.25	131.45953369140625	133.80283813476564	0.01751311463961036	Baby-Forearm	180.0	TP-model-no-country	Yes
63	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.5	131.46492919921874	133.8041763305664	0.01748261672766105	Baby-Forearm	180.0	TP-model-no-country	
64	"C(birth_mode_ms, Treatment(""Vag""))"	2	8	0.25	145.08033447265626	151.75078125	0.043956589365787724	Baby-Forearm	180.0	TP-model-no-country	
65	"C(birth_mode_ms, Treatment(""Vag""))"	2	8	0.5	145.08062896728515	151.75106506347657	0.04395643676966099	Baby-Forearm	180.0	TP-model-no-country	
66	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.25	273.7447814941406	294.9814086914063	0.07199310387551328	Baby-Forearm	180.0	TP-model-no-country	
67	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.5	273.7460632324219	294.98133544921876	0.07198852830623437	Baby-Forearm	180.0	TP-model-no-country	
68	"C(birth_mode_ms, Treatment(""Vag""))"	4	4	0.25	168.159716796875	212.8561019897461	0.20998404450262953	Baby-Forearm	180.0	TP-model-no-country	
69	"C(birth_mode_ms, Treatment(""Vag""))"	4	4	0.5	168.16251220703126	212.85904693603516	0.20998184184501845	Baby-Forearm	180.0	TP-model-no-country	
70	"C(birth_mode_ms, Treatment(""Vag""))"	4	8	0.25	196.2070343017578	269.8808654785156	0.27298649367427186	Baby-Forearm	180.0	TP-model-no-country	
71	"C(birth_mode_ms, Treatment(""Vag""))"	4	8	0.5	196.21258697509765	269.8811981201172	0.2729668152437634	Baby-Forearm	180.0	TP-model-no-country	
72	"C(birth_mode_ms, Treatment(""Vag""))"	3	13	0.25	57.08543586730957	58.66420021057129	0.026911887276990898	Baby-Forearm	2.0	TP-model-no-country	
