	country	formula	min_features	batch_size	differential_prior	CV	baseline_CV	q_squared	body_site	days	best
0	USA	"C(birth_mode_ms, Treatment(""Vag""))"	2	18	0.25	155.94784088134764	157.12360076904298	0.007483025350364714	Baby-Feces	120.0	
1	USA	"C(birth_mode_ms, Treatment(""Vag""))"	2	18	0.5	155.9478561401367	157.12360076904298	0.0074829282370794115	Baby-Feces	120.0	
2	USA	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.25	124.51461868286133	130.03329162597657	0.04244046177796512	Baby-Feces	120.0	Yes
3	USA	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.5	124.5150390625	130.0335220336914	0.04243892563151208	Baby-Feces	120.0	
4	USA	"C(birth_mode_ms, Treatment(""Vag""))"	2	9	0.25	143.62084350585937	146.2935989379883	0.018269804362813336	Baby-Feces	120.0	
5	USA	"C(birth_mode_ms, Treatment(""Vag""))"	2	9	0.5	143.62110443115233	146.29369201660157	0.01826864541190165	Baby-Feces	120.0	
6	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	18	0.25	242.79662170410157	245.97737884521484	0.012931096168460332	Baby-Feces	120.0	
7	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	18	0.5	242.79668579101562	245.9773910522461	0.012930884613516769	Baby-Feces	120.0	
8	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	4	0.25	191.49274749755858	199.19521942138672	0.038667955718023395	Baby-Feces	120.0	
9	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	4	0.5	191.49689025878905	199.19550018310548	0.03864851323066876	Baby-Feces	120.0	
10	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	9	0.25	219.4747741699219	223.3277114868164	0.01725239242028398	Baby-Feces	120.0	
11	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	9	0.5	219.4752990722656	223.3278030395508	0.017250444928269437	Baby-Feces	120.0	
12	USA	"C(birth_mode_ms, Treatment(""Vag""))"	2	17	0.25	190.07510681152343	198.99960632324218	0.04484681993401718	Baby-Feces	180.0	
13	USA	"C(birth_mode_ms, Treatment(""Vag""))"	2	17	0.5	190.0755157470703	198.9995880126953	0.044844677090767004	Baby-Feces	180.0	
16	USA	"C(birth_mode_ms, Treatment(""Vag""))"	2	8	0.25	181.61782531738282	186.81744842529298	0.027832641713814277	Baby-Feces	180.0	Yes
17	USA	"C(birth_mode_ms, Treatment(""Vag""))"	2	8	0.5	181.6178466796875	186.8175262451172	0.027832932326742	Baby-Feces	180.0	
18	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.25	337.3912811279297	344.5246154785156	0.020704861220665838	Baby-Feces	180.0	
19	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	17	0.5	337.3913635253906	344.5244659423828	0.020704197008130976	Baby-Feces	180.0	
20	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	4	0.25	295.3778076171875	296.00250244140625	0.0021104376451763773	Baby-Feces	180.0	
21	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	4	0.5	295.37755432128904	296.0030883789062	0.002113268685955294	Baby-Feces	180.0	
22	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	8	0.25	311.4495086669922	321.4104064941406	0.030991211317017542	Baby-Feces	180.0	
23	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	8	0.5	311.45049743652345	321.4105987548828	0.030988714612847024	Baby-Feces	180.0	
26	USA	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.25	367.9676879882812	373.02549438476564	0.013558875928376679	Baby-Feces	2.0	
27	USA	"C(birth_mode_ms, Treatment(""Vag""))"	2	4	0.5	367.96693725585936	373.02602233886716	0.013562284612980702	Baby-Feces	2.0	Yes
32	USA	"C(birth_mode_ms, Treatment(""Vag""))"	4	4	0.25	586.6927062988282	601.43701171875	0.024515128155792154	Baby-Feces	2.0	
