	formula	min_features	batch_size	traing_size	differential_prior	CV	baseline_CV	q_squared	body_site	days	model	best
0	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	4	4	0.25	379.86765747070314	453.03671875	0.16150801524693592	Baby-Mouth	120.0	TP-w-training	
1	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	4	4	0.5	379.8796020507813	453.0389739990234	0.1614858238408421	Baby-Mouth	120.0	TP-w-training	
2	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	4	7	0.25	231.07926025390626	310.6502410888672	0.25614330945327735	Baby-Mouth	120.0	TP-w-training	
3	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	4	7	0.5	231.07310638427734	310.6518218994141	0.25616690424852395	Baby-Mouth	120.0	TP-w-training	Yes
4	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	4	9	0.25	252.49502716064453	312.61962890625	0.19232510113315993	Baby-Mouth	120.0	TP-w-training	
5	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	4	9	0.5	252.4936065673828	312.62138671875	0.19233418667373892	Baby-Mouth	120.0	TP-w-training	
6	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	7	4	0.25	389.27830200195314	724.7378601074219	0.46287019979299326	Baby-Mouth	120.0	TP-w-training	
7	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	7	4	0.5	389.2795074462891	724.7393493652344	0.46286964025447086	Baby-Mouth	120.0	TP-w-training	
8	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	7	7	0.25	257.50038757324216	522.2382141113281	0.5069292506458566	Baby-Mouth	120.0	TP-w-training	
9	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	7	7	0.5	257.50360717773435	522.2386962890625	0.5069235408875095	Baby-Mouth	120.0	TP-w-training	
10	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	7	9	0.25	293.25905456542966	533.2457702636718	0.45004898131602045	Baby-Mouth	120.0	TP-w-training	
11	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	7	9	0.5	293.2637115478516	533.2463012695313	0.45004079568923183	Baby-Mouth	120.0	TP-w-training	
12	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	9	4	0.25	507.9902008056641	883.8127380371094	0.4252286950130666	Baby-Mouth	120.0	TP-w-training	
13	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	9	4	0.5	507.992822265625	883.8130310058593	0.4252259194600433	Baby-Mouth	120.0	TP-w-training	
14	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	9	7	0.25	314.72784729003905	563.7065246582031	0.4416813829130847	Baby-Mouth	120.0	TP-w-training	
15	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	9	7	0.5	314.7340454101562	563.7066345214844	0.4416704964323763	Baby-Mouth	120.0	TP-w-training	
16	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	9	9	0.25	354.3378570556641	574.0658996582031	0.3827575244120307	Baby-Mouth	120.0	TP-w-training	
17	"C(birth_mode_ms, Treatment(""Vag"")) + country"	2	9	9	0.5	354.3438293457031	574.0660949707031	0.38274733092574176	Baby-Mouth	120.0	TP-w-training	
18	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	4	4	0.25	573.2538330078125	655.9856506347656	0.12611833436737152	Baby-Mouth	120.0	TP-w-training	
19	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	4	4	0.5	573.254736328125	655.9879516601562	0.12612002266604483	Baby-Mouth	120.0	TP-w-training	
20	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	4	7	0.25	354.6905059814453	432.1925933837891	0.1793230346581195	Baby-Mouth	120.0	TP-w-training	
21	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	4	7	0.5	354.69313659667966	432.1939392089844	0.17931950354081605	Baby-Mouth	120.0	TP-w-training	
22	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	4	9	0.25	382.83153381347654	426.44537353515625	0.10227298132027729	Baby-Mouth	120.0	TP-w-training	
23	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	4	9	0.5	382.83448181152346	426.4469909667969	0.10226947329702007	Baby-Mouth	120.0	TP-w-training	
24	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	7	4	0.25	592.2603698730469	873.0375305175781	0.32160949653341153	Baby-Mouth	120.0	TP-w-training	
25	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	7	4	0.5	592.2576416015625	873.0397827148438	0.3216143716156308	Baby-Mouth	120.0	TP-w-training	
26	"C(birth_mode_ms, Treatment(""Vag"")) + country"	4	7	7	0.25	380.97386779785154	677.7539001464844	0.43788760534537563	Baby-Mouth	120.0	TP-w-training	
