	formula	min_features	batch_size	traing_size	differential_prior	CV	baseline_CV	q_squared	body_site	days	model	best
0	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	4	4	0.25	400.97552795410155	453.03671875	0.11491605126300464	Baby-Mouth	120.0	grid-search-CS-ref	
1	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	4	4	0.5	401.0371429443359	453.0389739990234	0.11478445352209277	Baby-Mouth	120.0	grid-search-CS-ref	
2	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	4	7	0.25	249.22823486328124	310.6502410888672	0.19772077436764335	Baby-Mouth	120.0	grid-search-CS-ref	Yes
3	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	4	7	0.5	249.2653045654297	310.6518218994141	0.19760552813966992	Baby-Mouth	120.0	grid-search-CS-ref	
4	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	4	9	0.25	278.30865783691405	312.61962890625	0.10975309256612709	Baby-Mouth	120.0	grid-search-CS-ref	
5	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	4	9	0.5	278.33779296875	312.62138671875	0.10966490203961388	Baby-Mouth	120.0	grid-search-CS-ref	
6	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	7	4	0.25	420.7084045410156	724.7378601074219	0.4195026537199843	Baby-Mouth	120.0	grid-search-CS-ref	
7	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	7	4	0.5	420.75555114746095	724.7393493652344	0.41943879338691736	Baby-Mouth	120.0	grid-search-CS-ref	
8	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	7	7	0.25	276.3858917236328	522.2382141113281	0.47076662669362945	Baby-Mouth	120.0	grid-search-CS-ref	
9	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	7	7	0.5	276.4107177734375	522.2386962890625	0.47071957758480165	Baby-Mouth	120.0	grid-search-CS-ref	
10	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	7	9	0.25	307.5793518066406	533.2457702636718	0.423194014920075	Baby-Mouth	120.0	grid-search-CS-ref	
11	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	7	9	0.5	307.5987579345703	533.2463012695313	0.42315819687403067	Baby-Mouth	120.0	grid-search-CS-ref	
12	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	9	4	0.25	511.60888671875	883.8127380371094	0.4211342915751587	Baby-Mouth	120.0	grid-search-CS-ref	
13	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	9	4	0.5	511.63844909667966	883.8130310058593	0.4211010347806382	Baby-Mouth	120.0	grid-search-CS-ref	
14	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	9	7	0.25	317.91868286132814	563.7065246582031	0.43602092763766664	Baby-Mouth	120.0	grid-search-CS-ref	
15	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	9	7	0.5	317.938623046875	563.7066345214844	0.43598566421563467	Baby-Mouth	120.0	grid-search-CS-ref	
16	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	9	9	0.25	342.5422882080078	574.0658996582031	0.40330493692108116	Baby-Mouth	120.0	grid-search-CS-ref	
17	"C(birth_mode_ms, Treatment(""CS"")) + country"	2	9	9	0.5	342.55735168457034	574.0660949707031	0.40327889996350963	Baby-Mouth	120.0	grid-search-CS-ref	
20	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	4	7	0.25	413.3727172851562	432.1925933837891	0.04354511480931533	Baby-Mouth	120.0	grid-search-CS-ref	
21	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	4	7	0.5	413.4002410888672	432.1939392089844	0.043484409231915766	Baby-Mouth	120.0	grid-search-CS-ref	
24	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	7	4	0.25	748.15341796875	873.0375305175781	0.14304552574594465	Baby-Mouth	120.0	grid-search-CS-ref	
25	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	7	4	0.5	748.1817810058594	873.0397827148438	0.14301524876761096	Baby-Mouth	120.0	grid-search-CS-ref	
26	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	7	7	0.25	519.3613342285156	677.7539001464844	0.23370218287749445	Baby-Mouth	120.0	grid-search-CS-ref	
27	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	7	7	0.5	519.3782348632812	677.7549682617188	0.23367845433082757	Baby-Mouth	120.0	grid-search-CS-ref	
28	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	7	9	0.25	531.0933349609375	695.5542053222656	0.2364457997707451	Baby-Mouth	120.0	grid-search-CS-ref	
29	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	7	9	0.5	531.1072265625	695.5552368164062	0.23642696014567244	Baby-Mouth	120.0	grid-search-CS-ref	
30	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	9	4	0.25	1000.0927978515625	1200.5311401367187	0.16695805346817572	Baby-Mouth	120.0	grid-search-CS-ref	
31	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	9	4	0.5	1000.1091430664062	1200.5319091796875	0.16694497212508774	Baby-Mouth	120.0	grid-search-CS-ref	
32	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	9	7	0.25	616.2103210449219	770.0188537597656	0.1997464503159162	Baby-Mouth	120.0	grid-search-CS-ref	
33	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	9	7	0.5	616.2219482421875	770.0193237304687	0.19973183886241686	Baby-Mouth	120.0	grid-search-CS-ref	
34	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	9	9	0.25	619.0928894042969	788.7660339355468	0.21511213367627668	Baby-Mouth	120.0	grid-search-CS-ref	
35	"C(birth_mode_ms, Treatment(""CS"")) + country"	4	9	9	0.5	619.1026550292969	788.7665710449219	0.21510028726352082	Baby-Mouth	120.0	grid-search-CS-ref	
42	"C(birth_mode_ms, Treatment(""CS""))"	2	7	4	0.25	676.1073120117187	724.7378601074219	0.06710087988020252	Baby-Mouth	120.0	grid-search-CS-ref	
43	"C(birth_mode_ms, Treatment(""CS""))"	2	7	4	0.5	676.1073425292968	724.7393493652344	0.06710275477457117	Baby-Mouth	120.0	grid-search-CS-ref	
44	"C(birth_mode_ms, Treatment(""CS""))"	2	7	7	0.25	476.43488159179685	522.2382141113281	0.08770582328501753	Baby-Mouth	120.0	grid-search-CS-ref	
45	"C(birth_mode_ms, Treatment(""CS""))"	2	7	7	0.5	476.43878784179685	522.2386962890625	0.08769918577982039	Baby-Mouth	120.0	grid-search-CS-ref	
46	"C(birth_mode_ms, Treatment(""CS""))"	2	7	9	0.25	461.58139953613284	533.2457702636718	0.1343927598189919	Baby-Mouth	120.0	grid-search-CS-ref	Yes
47	"C(birth_mode_ms, Treatment(""CS""))"	2	7	9	0.5	461.5848693847656	533.2463012695313	0.13438711476133447	Baby-Mouth	120.0	grid-search-CS-ref	
48	"C(birth_mode_ms, Treatment(""CS""))"	2	9	4	0.25	864.0106079101563	883.8127380371094	0.02240534592308807	Baby-Mouth	120.0	grid-search-CS-ref	
49	"C(birth_mode_ms, Treatment(""CS""))"	2	9	4	0.5	864.0129455566406	883.8130310058593	0.02240302502293323	Baby-Mouth	120.0	grid-search-CS-ref	
50	"C(birth_mode_ms, Treatment(""CS""))"	2	9	7	0.25	535.9778625488282	563.7065246582031	0.04918989030007748	Baby-Mouth	120.0	grid-search-CS-ref	
51	"C(birth_mode_ms, Treatment(""CS""))"	2	9	7	0.5	535.97958984375	563.7066345214844	0.04918701143418536	Baby-Mouth	120.0	grid-search-CS-ref	
52	"C(birth_mode_ms, Treatment(""CS""))"	2	9	9	0.25	520.310595703125	574.0658996582031	0.09363960476851829	Baby-Mouth	120.0	grid-search-CS-ref	
