body_site_days,feature_frequency,batch_size,train_size,differential-prior
Baby-Feces-120.0,"[4, 8]","[8, 12, 16]","[8, 12, 16]","[0.25, 0.5]"
Baby-Feces-180.0,"[4, 8]","[8, 12, 17]","[8, 12, 17]","[0.25, 0.5]"
Baby-Feces-2.0,"[3, 7]","[7, 11, 15]","[7, 11, 15]","[0.25, 0.5]"
Baby-Feces-30.0,"[7, 14]","[14, 21, 28]","[14, 21, 28]","[0.25, 0.5]"
Baby-Forearm-120.0,"[2, 4]","[4, 6, 8]","[4, 6, 8]","[0.25, 0.5]"
Baby-Forearm-180.0,"[2, 4]","[4, 6, 8]","[4, 6, 8]","[0.25, 0.5]"
Baby-Forearm-2.0,"[3, 6]","[6, 10, 13]","[6, 10, 13]","[0.25, 0.5]"
Baby-Forearm-30.0,"[4, 8]","[8, 13, 17]","[8, 13, 17]","[0.25, 0.5]"
Baby-Mouth-120.0,"[2, 4]","[4, 7, 9]","[4, 7, 9]","[0.25, 0.5]"
Baby-Mouth-180.0,"[2, 4]","[4, 6, 9]","[4, 6, 9]","[0.25, 0.5]"
Baby-Mouth-2.0,"[3, 7]","[7, 11, 15]","[7, 11, 15]","[0.25, 0.5]"
Baby-Mouth-30.0,"[4, 9]","[9, 13, 18]","[9, 13, 18]","[0.25, 0.5]"
