Sampling Sites	Days	Taxonomy	VaginaASV	seeding.effectiveness.scale	feature.frequency	P.VD	P.CSR	P.CS
Feces	2	Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium.unknown.asv_2	TRUE	0.975	0.899	0.415	0.488	0.096
Feces	2	Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella.aerofaciens.asv_3248	TRUE	0.894	0.253	0.413	0.404	0.183
Feces	2	Bacteroidetes.Bacteroidia.Bacteroidales.[Paraprevotellaceae].Paraprevotella.unknown.asv_11211	FALSE	0.931	0.114	0.511	0.364	0.124
Feces	2	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.unknown.asv_1852	TRUE	0.931	0.114	0.372	0.494	0.134
Feces	2	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.unknown.asv_3	FALSE	0.807	0.203	0.343	0.439	0.218
Feces	2	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.unknown.asv_3409	FALSE	0.926	0.127	0.394	0.452	0.154
Feces	2	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.caccae.asv_1857	TRUE	0.942	0.127	0.377	0.498	0.124
Feces	2	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.fragilis.asv_684	TRUE	0.933	0.405	0.415	0.433	0.152
Feces	2	Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.uniformis.asv_10	TRUE	0.969	0.329	0.374	0.552	0.074
Feces	2	Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides.distasonis.asv_1646	FALSE	0.992	0.405	0.441	0.502	0.057
Feces	2	Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.unknown.unknown.asv_6846	FALSE	0.856	0.114	0.451	0.357	0.192
Feces	2	Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.putredinis.asv_782	FALSE	0.808	0.266	0.404	0.364	0.232
Feces	2	Firmicutes.Clostridia.Clostridiales.[Tissierellaceae].Anaerococcus.unknown.asv_24	TRUE	0.819	0.114	0.306	0.579	0.115
Feces	2	Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.unknown.asv_12	FALSE	0.8	0.253	0.416	0.352	0.231
Feces	2	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.unknown.unknown.asv_1929	FALSE	0.95	0.114	0.375	0.514	0.111
Feces	2	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.unknown.asv_1710	TRUE	0.93	0.468	0.457	0.393	0.15
Feces	2	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.unknown.asv_1877	TRUE	0.916	0.253	0.356	0.511	0.133
Feces	2	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia.obeum.asv_1708	FALSE	0.898	0.152	0.354	0.495	0.151
Feces	2	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Clostridium.unknown.asv_32	FALSE	0.991	0.354	0.466	0.47	0.064
Feces	2	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Clostridium.clostridioforme.asv_1865	FALSE	0.803	0.316	0.446	0.338	0.216
Feces	2	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus.unknown.asv_1856	TRUE	0.844	0.329	0.403	0.383	0.213
Feces	2	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus.catus.asv_1907	FALSE	0.855	0.114	0.346	0.473	0.182
Feces	2	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus.eutactus.asv_7886	FALSE	0.88	0.165	0.496	0.346	0.157
Feces	2	Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia.faecis.asv_433	TRUE	0.815	0.367	0.426	0.353	0.221
Feces	2	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.unknown.unknown.asv_1934	FALSE	0.883	0.101	0.382	0.432	0.186
Feces	2	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.unknown.unknown.asv_2766	FALSE	0.828	0.152	0.504	0.325	0.171
Feces	2	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.prausnitzii.asv_247	TRUE	0.823	0.405	0.348	0.442	0.21
Feces	2	Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.unknown.asv_13235	FALSE	0.816	0.19	0.168	0.03	0.803
Feces	2	Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.unknown.unknown.asv_1010	FALSE	0.861	0.253	0.38	0.417	0.202
Feces	2	Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae.Sutterella.unknown.asv_1599	FALSE	0.95	0.253	0.391	0.484	0.125
