sample_name,seqcount
1718.1.14.I01.DM.200P,79697.0
1718.11.26.I01.RP,21115.0
1718.BLANK24,35387.0
1718.12.17.I01.TONG,65839.0
1718.11.27.I01.RP,92122.0
1718.11.18.I01.FH,22782.0
1718.2.9.I01.VAG,89024.0
1718.11.19.I01.DM.440A,24580.0
1718.11.11.mum01.TONG,52798.0
1718.11.19.I01.FH,76953.0
1718.11.24.I01.RP,34975.0
1718.2.2.mum01.RP,12962.0
1718.11.10.I01.DM.1235A,69189.0
1718.11.30.I01.DM.500P,26288.0
1718.11.15.I01.TONG,38939.0
1718.11.20.I01.RP,16530.0
1718.12.1.mum01.TONG,9053.0
1718.12.21.I01.DM.1246P,24325.0
1718.1.8.I01.TONG,22290.0
1718.11.5.mum01.FH,20423.0
1718.11.22.I01.RP,40419.0
1718.12.1.I01.DM.1130P,20870.0
1718.12.31.mum01.LP,19735.0
1718.11.23.I01.RP,40292.0
1718.12.17.I01.LP,6089.0
1718.11.9.I01.TONG,13585.0
1718.11.29.I01.RP,32017.0
1718.11.14.I01.FH,30351.0
1718.11.15.I01.FH,27740.0
1718.1.24.I01.DM.655P,30341.0
1718.11.10.I01.DM.430A,4800.0
1718.11.19.I01.DM.1100,38362.0
1718.11.17.I01.FH,43367.0
1718.11.4.mum01.VAG1,10.0
1718.1.8.I01.RP,41812.0
1718.11.16.I01.FH,114756.0
1718.11.13.I01.FH,41796.0
1718.11.14.I01.DM.800A,24834.0
1718.11.9.I01.DM.815A,37754.0
1718.3.3.mum01.FH,27159.0
1718.3.10.I01.RP.SS,41485.0
1718.12.17.I01.DM.400P,36392.0
1718.11.12.I01.FH,31317.0
1718.11.30.I01.RP,111151.0
1718.12.19.I01.DM.800A,30289.0
1718.11.10.I01.FH,20956.0
1718.11.11.I01.FH,91232.0
1718.BLANK23,601.0
1718.11.5.mum01.RP,5251.0
1718.11.23.I01.TONG,74388.0
1718.11.22.I01.FH,887.0
1718.11.18.I01.DM.230A,31036.0
1718.11.23.I01.FH,49929.0
1718.12.31.I01.DM.1130A,74574.0
1718.11.20.I01.FH,38269.0
1718.12.8.I01.LP,28372.0
1718.2.25.I01.VAG,42110.0
1718.12.31.I01.LP,19138.0
1718.11.18.I01.RP,72752.0
1718.11.25.I01.FH,35905.0
1718.11.19.I01.RP,75828.0
1718.11.24.I01.FH,7085.0
1718.2.2.mum01.VAG,51144.0
1718.2.2.mum01.FH,17927.0
1718.1.3.I01.DM.1130P,61852.0
1718.11.26.I01.FH,17212.0
1718.11.9.I01.DM.1040P,68632.0
1718.1.6.I01.DM.850A,56104.0
1718.11.27.I01.DM.1130P,23500.0
1718.11.27.I01.FH,43056.0
1718.11.30.I01.FH,85173.0
1718.11.28.I01.DM.600A,18070.0
1718.12.24.I01.LP,51729.0
1718.1.22.I01.DM.800P,49490.0
1718.11.10.I01.RP,45448.0
1718.11.11.I01.RP,97541.0
1718.11.13.I01.RP,48249.0
1718.3.3.mum01.RP,18232.0
1718.11.12.I01.RP,46378.0
1718.1.5.I01.DM.1100P,78149.0
1718.11.22.I01.DM.1100A,20814.0
1718.11.17.I01.RP,41607.0
1718.11.3.mum01.TONG,9797.0
1718.1.8.I01.FH,21597.0
1718.11.16.I01.RP,108320.0
1718.11.3.mum01.VAG,189.0
1718.11.29.I01.FH,60971.0
1718.11.14.I01.RP,52521.0
1718.12.1.I01.LP,232108.0
1718.11.3.mum01.LP,35473.0
1718.11.15.I01.RP,27886.0
1718.BLANK16,6596.0
1718.11.5.I01.RP,12351.0
1718.11.4.I01.RP,16497.0
1718.2.16.I01.LP,19076.0
1718.1.14.I01.DM.500P,15474.0
1718.11.16.I01.DM.115P,33685.0
1718.11.22.I01.DM.456P,19383.0
1718.1.21.I01.RP,253169.0
1718.12.24.I01.TONG,79442.0
1718.11.26.I01.DM.910A,48147.0
1718.11.7.I01.RP,63382.0
1718.11.7.I01.DM.712P,94025.0
1718.11.15.I01.DM.145A,25599.0
1718.3.3.mum01.VAG,26524.0
1718.11.8.I01.DM.230P,1041.0
1718.3.3.I01.VAG,65803.0
1718.11.6.I01.DM.110A,96779.0
1718.11.7.I01.TONG,19612.0
1718.11.26.I01.TONG,27551.0
1718.11.13.I01.DM.750A,58971.0
1718.4.1.I01.FH,27699.0
1718.12.1.mum01.VAG,41636.0
1718.12.2.I01.DM.345A,21149.0
1718.11.7.mum01.VAG,76269.0
1718.2.12.I01.DM.1010A,71918.0
1718.BLANK35,4.0
1718.4.8.I01.FH,25523.0
1718.12.23.I01.DM.1120A,42922.0
1718.11.9.I01.RP,75776.0
1718.11.20.I01.DM.330P,40023.0
1718.11.9.I01.DM.855A,60788.0
1718.11.5.mum01.BR,28722.0
1718.12.4.I01.DM.200A,25814.0
1718.11.18.mum01.TONG,51271.0
1718.1.28.I01.RP,56061.0
1718.1.15.I01.FH,24426.0
1718.11.22.I01.DM.840,26396.0
1718.11.13.I01.DM.420P,41996.0
1718.1.2.I01.DM.1158A,37.0
1718.BLANK2,2853.0
1718.4.8.mum01.LP,21317.0
1718.4.1.I01.RP,42850.0
1718.12.24.I01.DM.420P,22228.0
1718.11.5.I01.DM.200A,30653.0
1718.11.13.I01.DM.123P,64189.0
1718.2.9.I01.LP,14840.0
1718.12.12.I01.DM.130P,48232.0
1718.11.6.I01.DM.1025A,7.0
1718.11.10.I01.TONG,11951.0
1718.12.31.I01.VAG,22.0
1718.12.17.I01.DM.330P,36935.0
1718.11.19.I01.VAG,52888.0
1718.11.7.I01.FH,66383.0
1718.11.8.I01.DM.630A,59616.0
1718.11.21.I01.DM.1230A,7212.0
1718.11.5.I01.FH,7832.0
1718.1.28.I01.DM.420P,48803.0
1718.11.4.I01.FH,12513.0
1718.1.28.I01.FH,17437.0
1718.1.15.I01.RP,24312.0
1718.12.8.I01.DM.1240P,46089.0
1718.1.15.I01.VAG,72965.0
1718.12.3.I01.DM.824P,44331.0
1718.11.5.I01.DM.1035P,35720.0
1718.12.1.I01.TONG,24138.0
1718.11.7.mum01.TONG,48544.0
1718.4.8.I01.RP,38525.0
1718.11.9.I01.FH,55127.0
1718.2.2.I01.LP,132929.0
1718.11.25.I01.DM.215A,34285.0
1718.11.11.mum01.LP,47018.0
1718.2.2.mum01.BR,1737.0
1718.2.25.I01.LP,34307.0
1718.BLANK5,10486.0
1718.BLANK18,26980.0
1718.11.18.I01.VAG,54603.0
1718.1.5.I01.DM.338P,68323.0
1718.11.21.I01.DM.410P,53978.0
1718.BLANK40,4.0
1718.12.20.I01.DM.1035P,30822.0
1718.11.15.I01.VAG,35667.0
1718.2.2.I01.VAG,38392.0
1718.12.10.I01.DM.1115P,26017.0
1718.11.12.I01.DM.300P,26310.0
1718.1.17.I01.DM.815P,33855.0
1718.11.8.I01.DM.850A,933.0
1718.11.14.I01.DM.230P,48237.0
1718.11.11.I01.TONG,62453.0
1718.11.14.I01.VAG,35989.0
1718.2.3.I01.DM.1055A,40398.0
1718.3.3.I01.LP,29067.0
1718.4.8.I01.TONG,51680.0
1718.11.12.I01.DM.1145A,55898.0
1718.3.17.I01.LP,41765.0
1718.11.6.I01.DM.915.A,3185.0
1718.11.23.I01.DM.900P,38249.0
1718.11.5.I01.DM.1003A,6713.0
1718.11.24.I01.DM.125P,56295.0
1718.BLANK47,22829.0
1718.11.15.I01.DM.830A,37093.0
1718.11.10.I01.DM.905P,77131.0
1718.BLANK22,18352.0
1718.1.31.I01.DM.524P,48559.0
1718.11.7.I01.DM.1000A,86049.0
1718.1.24.I01.DM.800P,42720.0
1718.11.27.I01.TONG,15383.0
1718.11.14.I01.DM.803P,32237.0
1718.11.16.I01.DM.530AM,46858.0
1718.3.10.I01.RP.DS,33385.0
1718.11.18.I01.DM.1115A,35975.0
1718.11.17.I01.VAG,54181.0
1718.11.18.mum01.BR,12238.0
1718.3.24.I01.LP,27605.0
1718.11.9.I01.DM.520P,37961.0
1718.1.16.I01.DM.438P,28480.0
1718.12.21.I01.DM.740P,12255.0
1718.11.4.mum01.BR,4634.0
1718.11.4.I01.DM.100P,725.0
1718.11.25.mum01.BR,7755.0
1718.11.7.mum01.LP,90937.0
1718.11.25.I01.DM.310A,38840.0
1718.11.16.I01.VAG,43968.0
1718.11.12.I01.DM.830A,26101.0
1718.11.24.I01.DM.645P,37190.0
1718.BLANK25,100.0
1718.11.21.I01.DM.730A,50122.0
1718.BLANK19,2341.0
1718.BLANK4,398.0
1718.4.8.mum01.TONG,60050.0
1718.12.24.I01.VAG,51195.0
1718.11.16.I01.DM.830P,32678.0
1718.2.16.I01.DM.930A,65384.0
1718.11.21.I01.DM.810A,25304.0
1718.11.4.mum01.RP,5605.0
1718.11.22.I01.TONG,29944.0
1718.11.10.I01.VAG,43721.0
1718.11.25.mum01.RP,17118.0
1718.12.4.I01.DM.830P,24546.0
1718.11.14.I01.DM.215P,32456.0
1718.11.18.mum01.RP,23505.0
1718.11.11.mum01.VAG,235.0
1718.11.5.I01.DM.1230A,27999.0
1718.11.22.I01.DM.1136P,37209.0
1718.1.15.I01.DM.545P,172.0
1718.11.8.I01.DM.300P,952.0
1718.11.11.I01.DM.NT,40779.0
1718.11.11.I01.VAG,34655.0
1718.BLANK3,36.0
1718.11.5.I01.DM.700P,112910.0
1718.BLANK10,2540.0
1718.12.31.mum01.VAG,49394.0
1718.11.14.I01.DM.1115A,40559.0
1718.11.25.mum01.FH,7429.0
1718.11.14.I01.TONG,45334.0
1718.11.18.mum01.VAG,62949.0
1718.11.4.mum01.FH,25160.0
1718.12.22.I01.DM.315P,27296.0
1718.11.12.I01.VAG,36167.0
1718.12.6.I01.DM.130A,30285.0
1718.3.12.dad01.FECE.DS2P,65083.0
1718.3.24.I01.VAG,49175.0
1718.BLANK34,22961.0
1718.1.21.I01.TONG,89370.0
1718.11.20.I01.DM.1230A,20893.0
1718.12.4.I01.DM.810P,42812.0
1718.11.13.I01.VAG,37392.0
1718.12.9.I01.DM.310P,25289.0
1718.11.18.mum01.FH,26825.0
1718.12.31.I01.TONG,8466.0
1718.12.1.I01.VAG,51278.0
1718.11.14.I01.DM.500P,36257.0
1718.BLANK17,4.0
1718.2.9.I01.FH,7275.0
1718.BLANK7,9254.0
1718.3.10.I01.FH.SS,46817.0
1718.12.1.I01.DM.630P,30982.0
1718.11.5.I01.LP,15822.0
1718.2.16.I01.RP,30191.0
1718.11.27.I01.DM.844P,39428.0
1718.11.4.I01.LP,14913.0
1718.11.7.I01.LP,61583.0
1718.1.28.I01.TONG,86100.0
1718.1.21.I01.LP,50254.0
1718.11.24.I01.DM.610A,60579.0
1718.11.7.I01.DM.1201A,112553.0
1718.11.11.I01.DM.400P,60129.0
1718.1.15.I01.TONG,70698.0
1718.12.7.I01.DM.330A,36266.0
1718.11.4.mum01.TONG,45732.0
1718.1.28.I01.LP,65370.0
1718.1.21.I01.VAG,68595.0
1718.2.25.I01.FH,15834.0
1718.11.7.I01.DM.910P,82764.0
1718.11.20.I01.TONG,30442.0
1718.11.11.mum01.FH,71660.0
1718.11.30.I01.VAG,27939.0
1718.11.9.I01.LP,88912.0
1718.2.2.I01.FH,80070.0
1718.11.7.I01.DM.630P,46482.0
1718.2.16.I01.VAG,78642.0
1718.2.16.I01.FH,33214.0
1718.12.12.I01.DM.330P,782.0
1718.11.20.I01.DM.100P,17993.0
1718.4.8.mum01.RP,19177.0
1718.BLANK37,32523.0
1718.12.20.I01.DM.530P,26821.0
1718.1.9.I01.DM.845P,91101.0
1718.4.1.I01.LP,28931.0
1718.12.28.I01.DM.440P,88348.0
1718.2.9.I01.RP,28093.0
1718.1.11.I01.DM.520P,136197.0
1718.11.9.I01.DM.520A,34562.0
1718.12.27.I01.DM.1200P,43211.0
1718.4.8.I01.LP,32244.0
1718.11.16.I01.TONG,25001.0
1718.2.2.I01.RP,75526.0
1718.1.8.I01.DM.1140A,79136.0
1718.1.21.I01.DM.1110A,6472.0
1718.12.12.I01.DM.700A,59099.0
1718.11.11.I01.DM.1038P,41327.0
1718.11.9.I01.VAG,41396.0
1718.2.25.I01.RP,44419.0
1718.11.11.mum01.RP,56592.0
1718.11.18.I01.DM.800A,51404.0
1718.BLANK30,8416.0
1718.1.15.I01.LP,17155.0
1718.1.8.I01.DM.600P,105528.0
1718.12.20.I01.DM.100A,26748.0
1718.11.6.I01.DM.700P,63311.0
1718.12.10.I01.DM.100P,24295.0
1718.11.13.I01.DM.920P,38973.0
1718.BLANK14,7388.0
1718.12.2.I01.DM.650A,29500.0
1718.12.31.mum01.BR,27394.0
1718.11.13.I01.DM.220A,31043.0
1718.11.14.I01.DM.200A,43876.0
1718.12.1.I01.DM.950P,37159.0
1718.BLANK28,32020.0
1718.12.8.I01.FH,36647.0
1718.11.20.I01.LP,44548.0
1718.11.22.I01.LP,41341.0
1718.11.23.I01.LP,34897.0
1718.12.17.I01.RP,42667.0
1718.12.31.mum01.RP,3999.0
1718.11.26.I01.LP,22015.0
1718.11.27.I01.LP,44937.0
1718.11.25.I01.LP,27415.0
1718.12.31.I01.FH,11220.0
1718.11.13.I01.DM.615P,37050.0
1718.11.24.I01.LP,39188.0
1718.11.11.mum01.BR,106729.0
1718.2.2.mum01.LP,21549.0
1718.11.29.I01.VAG,45179.0
1718.12.24.I01.FH,57958.0
1718.11.30.I01.LP,54305.0
1718.11.27.I01.DM.230A,48920.0
1718.12.1.I01.FH,204513.0
1718.11.8.I01.DM.720P,19429.0
1718.11.29.I01.LP,84993.0
1718.1.6.I01.DM.1218P,32040.0
1718.11.3.mum01.FH,18874.0
1718.11.7.mum01.FECE,12793.0
1718.3.10.I01.TONG.DS,50292.0
1718.1.8.I01.LP,6011.0
1718.11.13.I01.TONG,39550.0
1718.12.14.I01.DM.1045P,22103.0
1718.11.18.I01.LP,84191.0
1718.12.31.I01.RP,64974.0
1718.11.19.I01.LP,96100.0
1718.3.10.I01.VAG.SS,51064.0
1718.11.11.I01.DM.830A,47.0
1718.4.1.I01.VAG,51285.0
1718.11.4.mum01.VAG3,267.0
1718.11.5.mum01.LP,18328.0
1718.12.17.I01.FH,42836.0
1718.2.3.I01.DM.530P,66226.0
1718.11.18.I01.TONG,26662.0
1718.12.31.mum01.FH,33173.0
1718.1.8.I01.VAG,4.0
1718.12.28.I01.DM.400P,31557.0
1718.12.31.I01.DM.200P,90980.0
1718.BLANK98,22670.0
1718.12.8.I01.RP,62365.0
1718.11.9.I01.DM.1120A,39201.0
1718.11.11.I01.DM.700A,12541.0
1718.11.17.I01.LP,102163.0
1718.11.21.I01.DM.700P,47610.0
1718.11.4.I01.TONG,1076.0
1718.11.16.I01.LP,235355.0
1718.3.10.I01.LP.SS,43416.0
1718.11.20.I01.DM.930P,23572.0
1718.11.14.I01.LP,39384.0
1718.12.24.I01.DM.935P,45907.0
1718.11.30.I01.DM.730P,31301.0
1718.2.1.I01.DM.700P,44945.0
1718.11.3.mum01.RP,26453.0
1718.11.25.I01.TONG,40194.0
1718.4.1.I01.TONG,46692.0
1718.11.15.I01.LP,8386.0
1718.12.24.I01.RP,69827.0
1718.11.10.I01.LP,42411.0
1718.11.5.I01.AN,16321.0
1718.11.4.I01.AN,12101.0
1718.12.12.I01.DM.1045P,22496.0
1718.12.29.I01.DM.500P,64.0
1718.11.11.I01.LP,77725.0
1718.12.1.I01.DM.1005A,33984.0
1718.BLANK26,25727.0
1718.11.13.I01.LP,28509.0
1718.3.3.mum01.LP,22853.0
1718.11.12.I01.LP,47524.0
1718.11.12.I01.DM.815P,37638.0
1718.11.18.I01.DM.550P,48949.0
1718.11.4.mum01.LP,12461.0
1718.11.19.I01.TONG,67961.0
1718.BLANK15,4.0
1718.BLANK8,10946.0
1718.11.25.mum01.LP,9706.0
1718.11.19.I01.DM.300P,22116.0
1718.11.26.I01.VAG,9.0
1718.2.9.I01.TONG,74163.0
1718.11.23.I01.DM.830A,39378.0
1718.BLANK31,51001.0
1718.1.10.I01.DM.530P,89837.0
1718.12.20.I01.DM.430P,17904.0
1718.11.7.mum01.BR,82001.0
1718.12.26.I01.DM.500P,37631.0
1718.3.3.I01.TONG,47402.0
1718.3.3.mum01.TONG,60828.0
1718.11.15.I01.DM.1100P,34492.0
1718.11.19.I01.DM.810A,21514.0
1718.12.8.I01.TONG,35894.0
1718.11.27.I01.VAG,5576.0
1718.11.18.mum01.LP,46341.0
1718.11.5.I01.TONG,11964.0
1718.11.14.I01.DM.800P,8290.0
1718.11.25.mum01.TONG,35798.0
1718.BLANK12,6959.0
1718.11.24.I01.TONG,54683.0
1718.11.28.I01.DM.930P,21453.0
1718.11.11.I01.DM.1030A,44728.0
1718.11.9.I01.DM.840P,8499.0
1718.11.24.I01.VAG,34041.0
1718.11.22.I01.DM.645A,537.0
1718.12.10.I01.DM.715P,449.0
1718.3.17.I01.TONG,40084.0
1718.11.18.I01.DM.600A,8423.0
1718.11.21.I01.DM.500A,16503.0
1718.11.4.I01.DM.1202A,3589.0
1718.1.28.I01.VAG,81363.0
1718.2.25.I01.TONG,32328.0
1718.3.10.I01.FH.DS,28550.0
1718.11.12.I01.TONG,42919.0
1718.11.20.I01.DM.715P,32546.0
1718.2.2.I01.TONG,66667.0
1718.BLANK6,22788.0
1718.1.3.I01.DM.1145A,51381.0
1718.3.7.dad01.FECE.SS,76287.0
1718.11.25.I01.VAG,45036.0
1718.12.17.I01.VAG,76214.0
1718.3.10.I01.LP.DS,32868.0
1718.11.21.I01.DM.230A,49983.0
1718.2.16.I01.DM.730P,6.0
1718.11.5.I01.DM.600A,22455.0
1718.11.10.I01.DM.845A,50898.0
1718.11.9.I01.DM.1156P,60423.0
1718.12.25.I01.DM.130P,27094.0
1718.11.23.I01.VAG,36123.0
1718.11.18.I01.DM.1030P,31563.0
1718.11.5.mum01.TONG,8031.0
1718.11.25.mum01.VAG,25.0
1718.4.8.I01.VAG,41692.0
1718.11.21.I01.DM.1115A,24224.0
1718.11.4.I01.VAG,316.0
