Sum of PC1	Column Labels					
Row Labels	CS	CSseed	Vag			
Baby-Feces						
7	-25.77838635	-11.70732072	3.933368956	a	ab	b
14	-44.98916789	-15.51720679	-2.434684682			
30	-20.36826031	-6.08486106	7.944782176	a	ab	b
60	-17.01542377	-3.826464866	11.95178465	a	ab	b
120	-12.72747952	-5.60414386	12.49159951	a	ab	b
180	-4.198654635	5.906804596	14.90688295	a	ab	b
360	10.78648136	15.34162409	19.3741852	a	a	a
Baby-Forearm						
7	12.85808766	-8.023494965	-3.330346232	b	a	a
14	18.46880325	-0.710670458	2.490312229	a	a	a
30	6.499769975	-8.29376737	-5.460393255	a	a	a
60	11.52693552	-4.282012122	1.277893723	a	a	a
120	11.70976913	-2.413871893	2.873685159	a	a	a
180	16.22639997	-1.040225532	-2.092892961	a	a	a
360	-15.72843166	-25.28113025	-26.03824603	a	a	a
Baby-Mouth						
7	3.97861609	4.740795146	4.326851256	a	b	a
14	2.031319718	3.353879271	2.399839863			
30	1.71700756	3.05197119	2.404991912	ab	b	a
60	1.693177481	3.051002777	2.316159639	ab	b	a
120	-3.041667564	-0.397507714	-1.852609457	ab	b	a
180	-5.300124624	-2.65404843	-3.71244353	ab	b	a
360	-7.105508057	-5.939831262	-6.939432553	a	a	a
