	sample_type	timepoint	compare_1	compare_2	test_type	method name	test statistic name	sample size	number of groups	test statistic	p-value	number of permutations	fdr_bh
0	Baby-Feces	0.0	CS	Vag	PERMANOVA results	PERMANOVA	pseudo-F	63	2	9.518136559865253	0.003996003996003996	1000	0.05394605394605395
1	Baby-Feces	0.0	CSseed	Vag	PERMANOVA results	PERMANOVA	pseudo-F	63	2	1.901080579895158	0.17282717282717283	1000	0.3733066933066933
2	Baby-Feces	0.0	CSseed	CS	PERMANOVA results	PERMANOVA	pseudo-F	50	2	2.1148627752704017	0.16083916083916083	1000	0.3733066933066933
3	Baby-Feces	1.0	CS	Vag	PERMANOVA results	PERMANOVA	pseudo-F	53	2	6.657309714234061	0.002997002997002997	1000	0.05394605394605395
4	Baby-Feces	1.0	CSseed	Vag	PERMANOVA results	PERMANOVA	pseudo-F	45	2	1.475613794499119	0.23476523476523475	1000	0.45276152419009563
5	Baby-Feces	1.0	CSseed	CS	PERMANOVA results	PERMANOVA	pseudo-F	34	2	0.7851063773510835	0.4065934065934066	1000	0.5355132672205842
6	Baby-Feces	2.0	CS	Vag	PERMANOVA results	PERMANOVA	pseudo-F	51	2	7.583783110508137	0.003996003996003996	1000	0.05394605394605395
7	Baby-Feces	2.0	CSseed	Vag	PERMANOVA results	PERMANOVA	pseudo-F	43	2	2.016815640484467	0.15984015984015984	1000	0.3733066933066933
8	Baby-Feces	2.0	CSseed	CS	PERMANOVA results	PERMANOVA	pseudo-F	34	2	0.7818683065209195	0.3926073926073926	1000	0.5355132672205842
9	Baby-Feces	4.0	CS	Vag	PERMANOVA results	PERMANOVA	pseudo-F	50	2	5.990132535238238	0.012987012987012988	1000	0.08766233766233768
10	Baby-Feces	4.0	CSseed	Vag	PERMANOVA results	PERMANOVA	pseudo-F	42	2	2.7733720499234655	0.09490509490509491	1000	0.30146324263971325
11	Baby-Feces	4.0	CSseed	CS	PERMANOVA results	PERMANOVA	pseudo-F	30	2	0.22301371792560074	0.7062937062937062	1000	0.7627972027972028
12	Baby-Feces	6.0	CS	Vag	PERMANOVA results	PERMANOVA	pseudo-F	52	2	5.755350277120325	0.017982017982017984	1000	0.08827536100263374
13	Baby-Feces	6.0	CSseed	Vag	PERMANOVA results	PERMANOVA	pseudo-F	44	2	1.1063227285305275	0.3126873126873127	1000	0.5240473811902383
14	Baby-Feces	6.0	CSseed	CS	PERMANOVA results	PERMANOVA	pseudo-F	32	2	0.768902065542575	0.3886113886113886	1000	0.5355132672205842
