	Baby	Baby	Baby	Mom	Mom	Mom	Mom	Mom	Mom
	Fecal	Oral	Skin	Fecal	Oral	Skin	Right Areola	Nose	Vagina
Time (day)									
-120	0	0	0	0	0	0	0	0	20
-90	0	0	0	1	2	2	2	2	17
-60	0	0	0	7	11	10	11	11	16
-30	0	0	0	24	27	27	26	27	60
-1	0	0	0	1	11	10	9	1	14
0	91	65	56	35	68	62	68	43	74
1	87	74	56	30	62	58	70	47	59
2	100	82	67	62	71	67	80	50	72
7	148	88	71	103	76	68	80	50	80
14	122	92	73	78	63	59	74	40	69
21	90	87	73	49	64	56	70	39	71
30	197	90	70	86	64	61	72	41	86
60	141	54	33	48	31	30	46	13	55
90	101	51	29	35	30	25	33	11	38
120	97	45	23	42	26	21	36	9	35
150	86	42	21	27	28	19	27	9	32
180	97	38	24	46	24	24	33	8	32
210	69	38	30	21	22	25	34	8	32
240	71	36	30	20	25	28	36	8	31
270	67	29	26	18	20	25	37	6	31
300	68	34	25	16	20	24	35	5	28
330	66	32	27	20	22	25	34	6	29
360	82	37	22	39	18	21	34	6	26
