,body_type,compare,test-stat,P
0,Feces,Mom vs. Vag,989,2.27e-13
1,Feces,Mom vs. CSseed,384,0.001
2,Feces,Mom vs. CS,208,1.60e-13
3,Feces,Vag vs. CSseed,733,1.7
4,Feces,Vag vs. CS,1139,0.085
5,Feces,CSseed vs. CS,269,0.212
6,Mouth,Mom vs. Vag,1915,0.01
7,Mouth,Mom vs. CSseed,486,0.0
8,Mouth,Mom vs. CS,339,8.30e-06
9,Mouth,Vag vs. CSseed,433,0.055
10,Mouth,Vag vs. CS,324,0.006
11,Mouth,CSseed vs. CS,208,1.314
12,Right_Forearm,Mom vs. Vag,1438,0.338
13,Right_Forearm,Mom vs. CSseed,134,0.06
14,Right_Forearm,Mom vs. CS,288,0.026
15,Right_Forearm,Vag vs. CSseed,133,0.356
16,Right_Forearm,Vag vs. CS,140,0.001
17,Right_Forearm,CSseed vs. CS,10,0.004
