body_site	days	min_features	batch_size.x	traing_size	differential_prior	model_CV	null_CV	q_squared	feature_frequency	batch_size.y	train_size	differential-prior
Baby-Feces	2	3	7	11	0.25	280.2	328.3	0.146	[3, 7]	[7, 11, 15]	[7, 11, 15]	[0.25, 0.5]
Baby-Feces	30	7	14	21	0.5	338.3	348.4	0.029	[7, 14]	[14, 21, 28]	[14, 21, 28]	[0.25, 0.5]
Baby-Feces	120	4	12	12	0.25	248.4	271.2	0.084	[4, 8]	[8, 12, 16]	[8, 12, 16]	[0.25, 0.5]
Baby-Feces	180	4	8	12	0.25	99.8	108.6	0.081	[4, 8]	[8, 12, 17]	[8, 12, 17]	[0.25, 0.5]
Baby-Forearm	2	3	10	6	0.25	39.5	53.5	0.262	[3, 6]	[6, 10, 13]	[6, 10, 13]	[0.25, 0.5]
Baby-Forearm	30	4	8	17	0.25	94	105	0.104	[4, 8]	[8, 13, 17]	[8, 13, 17]	[0.25, 0.5]
Baby-Forearm	120	2	4	6	0.25	33.1	41.3	0.198	[2, 4]	[4, 6, 8]	[4, 6, 8]	[0.25, 0.5]
Baby-Forearm	180	2	4	6	0.5	125.6	134.6	0.067	[2, 4]	[4, 6, 8]	[4, 6, 8]	[0.25, 0.5]
Baby-Mouth	2	3	7	11	0.25	303.9	350.7	0.134	[3, 7]	[7, 11, 15]	[7, 11, 15]	[0.25, 0.5]
Baby-Mouth	30	4	9	18	0.25	322.7	387.5	0.167	[4, 9]	[9, 13, 18]	[9, 13, 18]	[0.25, 0.5]
Baby-Mouth	120	2	4	7	0.5	231.1	310.7	0.256	[2, 4]	[4, 7, 9]	[4, 7, 9]	[0.25, 0.5]
Baby-Mouth	180	2	6	9	0.25	310.4	542.5	0.428	[2, 4]	[4, 6, 9]	[4, 6, 9]	[0.25, 0.5]
