dist	bodysite	comp	0	1	2	7	14	21	30	60	90	120	150	180	210	240	270	300	330	360
aitchison	Feces	CS-Vag	ns	ns	ns	*	*	*	*	*	*	*	ns	ns	ns	ns	ns	ns	ns	ns
aitchison	Feces	CSseed-Vag	-	ns	*	*	*	ns	*	ns	ns	ns	ns	ns	ns	ns	-	-	-	ns
aitchison	Feces	CS-CSseed	-	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	-	-	-	ns
aitchison	Mouth	CS-Vag	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns
aitchison	Mouth	CSseed-Vag	ns	*	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	*	ns	-	-	ns	ns
aitchison	Mouth	CS-CSseed	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	-	-	ns	ns
aitchison	Forearm	CS-Vag	ns	-	ns	ns	*	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns
aitchison	Forearm	CS-CSseed	ns	-	ns	ns	ns	ns	ns	ns	-	ns	-	ns	-	-	-	-	-	ns
aitchison	Forearm	CSseed-Vag	*	*	ns	*	*	ns	*	ns	-	ns	-	ns	-	-	-	-	-	ns
braycurtis	Feces	CS-Vag	*	ns	*	*	*	*	*	*	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns
braycurtis	Feces	CSseed-Vag	-	ns	*	*	*	ns	*	ns	ns	ns	ns	ns	ns	ns	-	-	-	ns
braycurtis	Feces	CS-CSseed	-	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	-	-	-	ns
braycurtis	Mouth	CS-Vag	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns
braycurtis	Mouth	CSseed-Vag	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	*	ns	-	-	ns	ns
braycurtis	Mouth	CS-CSseed	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	-	-	ns	ns
braycurtis	Forearm	CS-Vag	ns	-	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns
braycurtis	Forearm	CS-CSseed	ns	-	ns	ns	ns	ns	ns	ns	-	ns	-	ns	-	-	-	-	-	ns
braycurtis	Forearm	CSseed-Vag	ns	ns	ns	ns	ns	ns	ns	ns	-	ns	-	ns	-	-	-	-	-	ns
unifrac	Feces	CS-Vag	ns	ns	ns	*	ns	ns	ns	ns	ns	*	ns	ns	ns	ns	ns	ns	ns	ns
unifrac	Feces	CSseed-Vag	-	ns	ns	ns	*	ns	ns	ns	ns	ns	ns	ns	ns	ns	-	-	-	ns
unifrac	Feces	CS-CSseed	-	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	-	-	-	ns
unifrac	Mouth	CS-Vag	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns
unifrac	Mouth	CSseed-Vag	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	-	-	ns	ns
unifrac	Mouth	CS-CSseed	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	-	-	ns	ns
unifrac	Forearm	CS-Vag	*	-	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns
unifrac	Forearm	CS-CSseed	ns	-	ns	ns	ns	ns	ns	ns	-	ns	-	ns	-	-	-	-	-	ns
unifrac	Forearm	CSseed-Vag	*	ns	*	ns	ns	ns	ns	ns	-	ns	-	ns	-	-	-	-	-	ns
wunifrac	Feces	CS-Vag	ns	ns	ns	*	ns	ns	*	*	*	*	*	ns	ns	ns	ns	ns	ns	ns
wunifrac	Feces	CSseed-Vag	-	ns	ns	*	*	ns	ns	*	ns	ns	ns	ns	ns	ns	-	-	-	ns
wunifrac	Feces	CS-CSseed	-	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	-	-	-	ns
wunifrac	Mouth	CS-Vag	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns
wunifrac	Mouth	CSseed-Vag	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	-	-	ns	ns
wunifrac	Mouth	CS-CSseed	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	-	-	ns	ns
wunifrac	Forearm	CS-Vag	ns	-	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns	ns
wunifrac	Forearm	CS-CSseed	ns	-	*	ns	ns	ns	ns	ns	-	ns	-	ns	-	-	-	-	-	ns
wunifrac	Forearm	CSseed-Vag	ns	ns	ns	ns	ns	ns	ns	ns	-	ns	-	ns	-	-	-	-	-	ns
