body_site	days	p	c	o	f	g	s	VaginaASV	seeding.effectiveness.scale	feature.frequency	P.VD	P.CSR	P.CS
Feces	2	p_Actinobacteria	c_Actinobacteria	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Bifidobacterium	-	TRUE	0.975	0.899	0.415	0.488	0.096
Feces	2	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Coriobacteriaceae	g_Collinsella	s_aerofaciens	TRUE	0.894	0.253	0.413	0.404	0.183
Feces	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_[Paraprevotellaceae]	g_Paraprevotella	s_	FALSE	0.931	0.114	0.511	0.364	0.124
Feces	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides	-	TRUE	0.931	0.114	0.372	0.494	0.134
Feces	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides	s_	FALSE	0.926	0.127	0.394	0.452	0.154
Feces	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides	s_caccae	TRUE	0.942	0.127	0.377	0.498	0.124
Feces	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides	s_fragilis	TRUE	0.933	0.405	0.415	0.433	0.152
Feces	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides	s_uniformis	TRUE	0.969	0.329	0.374	0.552	0.074
Feces	2	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Parabacteroides	s_distasonis	FALSE	0.992	0.405	0.441	0.502	0.057
Feces	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_	s_	FALSE	0.95	0.114	0.375	0.514	0.111
Feces	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Blautia	s_	TRUE	0.93	0.468	0.457	0.393	0.15
Feces	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Blautia	s_	TRUE	0.916	0.253	0.356	0.511	0.133
Feces	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Blautia	s_obeum	FALSE	0.898	0.152	0.354	0.495	0.151
Feces	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Clostridium	-	FALSE	0.991	0.354	0.466	0.47	0.064
Feces	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Coprococcus	s_eutactus	FALSE	0.88	0.165	0.496	0.346	0.157
Feces	2	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Ruminococcaceae	g_	s_	FALSE	0.883	0.101	0.382	0.432	0.186
Feces	2	p_Proteobacteria	c_Betaproteobacteria	o_Burkholderiales	f_Alcaligenaceae	g_Sutterella	s_	FALSE	0.95	0.253	0.391	0.484	0.125
Feces	2	p_Proteobacteria	c_Gammaproteobacteria	o_Pasteurellales	f_Pasteurellaceae	g_Haemophilus	s_parainfluenzae	TRUE	0.886	0.519	0.431	0.384	0.185
Feces	2	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Acinetobacter	s_	TRUE	0.866	0.152	0.364	0.446	0.19
Feces	2	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Acinetobacter	s_guillouiae	FALSE	0.969	0.114	0.074	0.037	0.889
Feces	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_	TRUE	0.913	0.106	0.132	0.029	0.84
Feces	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Corynebacteriaceae	g_Corynebacterium	s_	TRUE	0.866	0.17	0.42	0.375	0.204
Feces	30	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Corynebacteriaceae	g_Corynebacterium	s_kroppenstedtii	TRUE	0.91	0.128	0.343	0.529	0.128
Feces	30	p_Actinobacteria	c_Actinobacteria	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Bifidobacterium	-	FALSE	0.86	0.27	0.299	0.671	0.03
Feces	30	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_[Barnesiellaceae]	g_	s_	FALSE	0.802	0.106	0.302	0.562	0.135
